customer_id,state,account_length,churn,customer_service_calls,total_intl_calls,avg_charge_per_call,anomaly_flag_iforest,anomaly_flag_svm,high_confidence_anomaly,risk_rule_score,predicted_churn_probability,risk_score,risk_tier
CUST00000,KS,128,False,1.0,3,0.2493729372937294,1,1,0,0,0.0418579645883902,7.129761403511516,Low
CUST00001,OH,107,False,1.0,3,0.178433734939759,1,1,0,0,0.1101740494441724,9.30267574361344,Low
CUST00002,NJ,137,False,0.0,5,0.187057057057057,1,1,0,0,0.0892841475419534,13.000165771036592,Low
CUST00003,OH,84,False,2.0,7,0.2625098039215686,-1,1,0,0,0.2598680424408699,35.01077397372078,Medium
CUST00004,OK,75,False,3.0,3,0.1450974930362117,1,1,0,0,0.3124747384441571,16.465795281724443,Low
CUST00005,AL,118,False,0.0,6,0.2093188854489164,1,1,0,0,0.2022172727001331,16.853376540304048,Low
CUST00006,MA,121,False,3.0,7,0.2412772585669781,1,1,0,0,0.1282261968482631,21.140042545405528,Low
CUST00007,MO,147,False,0.0,6,0.1705454545454545,1,1,0,0,0.1080300002858867,15.379701557471371,Low
CUST00008,WV,141,False,0.0,5,0.2711784511784511,1,1,0,0,0.2494351492799115,21.785369555758543,Low
CUST00009,RI,74,False,0.0,5,0.1526203208556149,1,1,0,0,0.0872571125164555,15.205535105760251,Low
CUST00010,IA,168,False,1.0,2,0.1353198653198653,1,1,0,0,0.1272770994163759,17.37140928678931,Low
CUST00011,MT,95,False,3.0,5,0.2107420494699646,1,1,0,0,0.1613926707814465,12.643688440973245,Low
CUST00012,IA,62,False,3.5,6,0.2362948207171314,1,1,0,0,0.3549074917445508,31.845254712310272,Low
CUST00013,ID,85,False,1.0,4,0.2111038961038961,1,1,0,0,0.0661170520490404,20.560018529655206,Low
CUST00014,VT,93,False,3.0,3,0.169025787965616,1,1,0,0,0.0650481604138425,11.475690819615817,Low
CUST00015,VA,76,False,1.0,5,0.2479508196721311,1,1,0,0,0.075657156680982,9.973765782550679,Low
CUST00016,TX,73,False,1.0,2,0.2515748031496063,1,1,0,0,0.1992964659982634,13.611389169896206,Low
CUST00017,FL,147,False,0.0,4,0.170028818443804,1,1,0,0,0.1453941212623249,10.946024290632469,Low
CUST00018,CO,77,True,3.5,6,0.1286428571428571,-1,1,0,0,0.9691071498955792,58.13568681203803,Medium
CUST00019,AZ,130,False,0.0,19,0.156038961038961,1,-1,0,1,0.1555202488394388,57.09797955568223,Medium
CUST00020,VA,132,False,0.0,2,0.1748363636363636,1,1,0,0,0.1831559142521034,21.2102720189222,Low
CUST00021,NE,174,False,3.0,5,0.1952922077922078,1,1,0,0,0.1203168236221719,24.560315945154056,Low
CUST00022,WY,57,False,0.0,3,0.1833043478260869,1,1,0,0,0.1131955770042412,7.917814963544736,Low
CUST00023,MT,54,False,3.0,4,0.1820816326530612,1,1,0,0,0.0322780825649588,22.873581653388026,Low
CUST00024,MO,20,False,0.0,6,0.2130232558139535,1,1,0,0,0.0638022694799993,12.537471735258855,Low
CUST00025,IL,142,False,2.0,6,0.1318589743589743,-1,1,0,0,0.0711703000303339,27.931802621028506,Low
CUST00026,NH,75,False,1.0,5,0.2204126984126984,1,1,0,0,0.2802138918715087,10.230615958088078,Low
CUST00027,LA,172,False,3.0,10,0.1791358024691358,1,1,0,0,0.0961917031772218,27.54383255574621,Low
CUST00028,AZ,12,True,1.0,3,0.2414545454545454,1,1,0,0,0.9570005364452764,37.352239253394956,Medium
CUST00029,OK,57,False,0.0,4,0.2023875432525951,1,1,0,0,0.0569780776241573,7.681475895610787,Low
CUST00030,GA,72,False,3.0,6,0.2576061776061776,1,1,0,0,0.0727069340197658,18.25611176434728,Low
CUST00031,MA,78,False,1.0,5,0.1849829351535836,1,1,0,0,0.1109962219393729,9.475100147275645,Low
CUST00032,AK,136,False,3.0,6,0.1824842767295597,1,1,0,0,0.185773549472038,15.473598853897103,Low
CUST00033,NJ,149,False,1.0,9,0.1928712871287128,1,1,0,0,0.0821477068239256,10.121950648191245,Low
CUST00034,GA,98,False,3.0,2,0.1439506172839506,1,1,0,0,0.1159858580228817,15.108158009423173,Low
CUST00035,MD,135,True,0.0,15,0.1971929824561403,1,-1,0,1,0.9949074074074076,83.31779736949045,High
CUST00036,AR,34,False,2.0,4,0.2363740458015266,1,1,0,0,0.1185130473219361,16.86388968958191,Low
CUST00037,ID,160,False,3.0,4,0.138339222614841,1,1,0,0,0.1466923395718991,17.6622188198197,Low
CUST00038,WI,64,False,1.0,3,0.2126277372262774,1,1,0,0,0.0903085347560956,24.09146545502732,Low
CUST00039,OR,59,False,2.0,5,0.1558064516129032,1,1,0,0,0.0986759608680179,8.220721080086205,Low
CUST00040,DE,142,False,2.0,5,0.165575221238938,1,1,0,0,0.0746359383287479,16.129634142423672,Low
CUST00041,WY,97,False,1.0,3,0.1718181818181818,1,1,0,0,0.0785992668112213,20.308490780305146,Low
CUST00042,IA,52,False,3.0,5,0.2308108108108107,1,1,0,0,0.1276967676997045,11.743845080841101,Low
CUST00043,IN,60,False,1.0,3,0.2252960526315789,1,1,0,0,0.1153837593637157,17.47864296696203,Low
CUST00044,UT,96,False,2.0,5,0.2442023346303501,1,1,0,0,0.130767412004676,13.6182841659477,Low
CUST00045,WY,87,True,3.5,3,0.1706382978723404,1,1,0,0,0.9494703368164492,38.92426173991576,Medium
CUST00046,IN,81,False,1.0,3,0.2606324110671936,1,1,0,0,0.1430564351517101,10.373786346770068,Low
CUST00047,CO,141,False,1.0,2,0.1564482758620689,1,1,0,0,0.0846811808805815,15.76320945383113,Low
CUST00048,CO,121,True,3.0,3,0.1743006993006992,1,-1,0,0,0.852234003759614,46.05436705197733,Medium
CUST00049,OK,125,False,1.0,8,0.1982530120481927,1,1,0,0,0.1847264814931647,12.510029651900245,Low
CUST00050,ID,174,False,1.0,4,0.2316465863453815,1,1,0,0,0.0850897519620794,10.389694092068108,Low
CUST00051,CA,116,False,2.0,3,0.2138323353293413,1,1,0,0,0.1387791440219229,19.68867024269755,Low
CUST00052,SD,149,False,3.0,3,0.2925943396226415,1,1,0,1,0.0679789027373001,48.5014318133534,Medium
CUST00053,NC,38,False,2.0,6,0.1482410423452768,1,1,0,0,0.0516400017314644,7.703764008900895,Low
CUST00054,WA,40,False,2.0,5,0.189182156133829,1,1,0,0,0.1056679928998523,12.0761489814602,Low
CUST00055,WY,43,False,0.0,4,0.2516428571428571,1,1,0,0,0.5127103793072817,25.951449724796028,Low
CUST00056,MN,113,False,0.0,8,0.1305849582172702,1,1,0,0,0.1515611158345634,21.760167526761233,Low
CUST00057,UT,126,False,1.0,1,0.3006161137440758,1,1,0,1,0.0987072612729336,48.111625692988916,Medium
CUST00058,TX,150,True,3.5,3,0.175796178343949,1,1,0,0,0.9429366292444448,39.62093801104752,Medium
CUST00059,NJ,138,False,3.0,7,0.2511498257839721,1,1,0,0,0.1765012977743881,17.798054405979887,Low
CUST00060,MN,162,False,0.0,2,0.2826229508196721,1,1,0,0,0.0675468071139664,14.258655753474065,Low
CUST00061,NM,147,False,3.0,4,0.2307473309608541,1,1,0,0,0.0787216462953966,13.415286367886539,Low
CUST00062,NV,90,False,1.0,4,0.1684946236559139,1,1,0,0,0.1513602604250563,13.821304084555,Low
CUST00063,MN,50,False,1.0,2,0.2018181818181817,1,1,0,0,0.1007847476139635,11.96159656470183,Low
CUST00064,DC,82,True,0.0,4,0.2858391608391608,1,1,0,0,0.9631167282969376,48.116954917882495,Medium
CUST00065,NY,144,True,3.5,7,0.0877272727272727,-1,1,0,0,0.8643194444585316,52.742160977484744,Medium
CUST00066,MD,70,False,1.0,2,0.2030935251798561,1,1,0,0,0.0545941078713082,12.779411386617346,Low
CUST00067,WV,144,False,1.0,2,0.2504421768707482,1,1,0,0,0.2322102557583484,18.06824845999305,Low
CUST00068,OR,116,False,3.0,5,0.2355555555555555,1,1,0,0,0.1656220926954787,14.616565128438474,Low
CUST00069,CO,55,False,3.0,2,0.1632258064516129,1,1,0,0,0.0573419952218766,9.530237736572184,Low
CUST00070,GA,70,False,1.0,4,0.2847232472324724,1,1,0,0,0.0773468890131538,11.189187332634509,Low
CUST00071,TX,106,True,2.0,1,0.2553333333333333,1,1,0,0,0.6327313430276837,26.331009992077163,Low
CUST00072,IN,94,True,3.5,5,0.1718983050847457,1,1,0,0,0.9666379299402992,37.69237465193468,Medium
CUST00073,WV,111,False,1.0,2,0.2231292517006802,1,1,0,0,0.1466936302200371,8.726814565333143,Low
CUST00074,KY,74,False,2.0,9,0.1918110236220472,1,1,0,0,0.0631015362690521,15.856081600361154,Low
CUST00075,NJ,128,True,1.0,4,0.2573793103448276,1,1,0,0,0.9228752936271644,40.3379884331964,Medium
CUST00076,DC,82,False,1.0,2,0.1868702290076336,1,1,0,0,0.0542246440017692,12.364097054756924,Low
CUST00077,AR,80,False,1.0,9,0.1775539568345324,1,1,0,0,0.1315596568001432,18.879855230997283,Low
CUST00078,ME,78,False,3.0,7,0.2290220820189274,1,1,0,0,0.2881287980146922,20.414793384612945,Low
CUST00079,AZ,90,False,3.0,7,0.22104,1,1,0,0,0.0745966948238676,15.004045875563405,Low
CUST00080,AK,104,False,1.0,5,0.1778670360110803,1,1,0,0,0.1788899401528143,24.23318226657225,Low
CUST00081,AZ,99,False,3.5,3,0.2231182795698925,1,1,0,0,0.2366070835584689,16.136706294143366,Low
