customer_id,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn,source_split,churn_flag,total_minutes,total_charge,total_calls,avg_charge_per_call,has_intl_plan,has_voicemail_plan,account_length_zscore,total_day_minutes_zscore,total_eve_minutes_zscore,total_night_minutes_zscore,total_intl_minutes_zscore,total_charge_zscore,customer_service_calls_zscore,account_length_norm,total_day_minutes_norm,total_eve_minutes_norm,total_night_minutes_norm,total_intl_minutes_norm,total_charge_norm,customer_service_calls_norm
CUST03290,ND,27,415,No,No,0,227.4,67,38.66,248.0,115,21.08,64.54999999999998,109,2.914999999999999,7.8,6,2.11,1.0,False,holdout_20,0,547.7499999999999,64.765,297,0.21806397306397307,0,0,-1.860170829396623,0.8788376552957626,0.9324650175906755,-2.719519937209717,-0.9022188784635938,0.5083628173795876,-0.43024897859187927,0.10743801652892562,0.6628266850068776,0.6712154294032023,0.0,0.3263888888888889,0.576259541984733,0.2857142857142857
CUST00093,ME,36,510,Yes,Yes,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,17.5,6,4.7250000000000005,0.0,True,train_80,1,607.5,66.075,343,0.1926384839650146,1,1,-1.634131793313488,0.3136787622900414,1.0693866129956138,-1.2477901995764105,2.6631728857998707,0.6339438815756625,-1.333568566400845,0.1446280991735537,0.5575997248968363,0.696324599708879,0.2699487554904832,1.0,0.596259541984733,0.0
CUST01341,PA,174,415,No,Yes,15,221.8,143,37.71,210.6,115,17.9,221.8,109,9.98,12.4,9,3.35,1.0,False,train_80,0,666.6,68.94,376,0.18335106382978722,0,1,1.8318000932945797,0.7754098840267418,0.19031028307695275,0.4185071982863835,0.7885854633520698,0.9085925448747111,-0.43024897859187927,0.7148760330578512,0.6435694635488308,0.5351164483260552,0.5755856515373353,0.6458333333333335,0.64,0.2857142857142857
CUST01661,PA,65,415,No,Yes,23,224.2,106,38.11,189.6,100,16.12,222.8,75,10.03,9.8,4,2.65,0.0,False,train_80,0,646.3999999999999,66.91000000000001,285,0.23477192982456144,0,1,-0.9057837881567202,0.8197360717134646,-0.2264076159815546,0.43846285574581817,-0.16708655593504418,0.713989827074688,-1.333568566400845,0.2644628099173554,0.6518225584594222,0.4586972343522562,0.5792459736456809,0.46527777777777785,0.6090076335877865,0.0
CUST02997,MS,155,408,No,No,0,163.0,93,27.71,203.9,102,17.33,159.0,109,7.15,15.1,4,4.08,2.0,False,holdout_20,0,541.0,56.269999999999996,308,0.1826948051948052,0,0,1.3546065726746284,-0.3105817142979778,0.057357429567810155,-0.8347080901661131,1.7810140987656111,-0.3059968317392336,0.47307060921708655,0.6363636363636364,0.44136863823933975,0.5107350800582241,0.3457174231332357,0.8333333333333334,0.4465648854961832,0.5714285714285714
CUST01833,DC,217,415,No,No,0,123.7,138,21.03,248.5,105,21.12,269.6,78,12.13,13.3,4,3.59,0.0,False,train_80,0,655.0999999999999,57.870000000000005,325,0.17806153846153847,0,0,2.9117643768028905,-1.036423037668071,0.9423868723301637,1.3723876248473603,1.1193950084899171,-0.1526153792860117,-1.333568566400845,0.8925619834710744,0.3062242090784045,0.6730349344978166,0.7505490483162518,0.7083333333333334,0.4709923664122138,0.0
CUST01786,FL,120,415,No,No,0,184.5,103,31.37,209.0,86,17.77,169.7,70,7.64,10.2,6,2.75,2.0,False,train_80,0,573.4000000000001,59.53,265,0.22464150943396227,0,0,0.4755658767957705,0.08650705039558454,0.1585603479105904,-0.6211825553501625,-0.02006009142933484,0.006517877634204845,0.47307060921708655,0.49173553719008267,0.515302613480055,0.5292940320232897,0.3848828696925329,0.4930555555555555,0.4963358778625955,0.5714285714285714
CUST00451,CT,66,415,No,Yes,29,229.4,104,39.0,257.4,84,21.88,231.5,119,10.42,8.0,1,2.16,2.0,False,train_80,0,726.3,73.46,308,0.2385064935064935,0,1,-0.8806683397030386,0.9157761450346986,1.1189958866930545,0.6120770756428995,-0.8287056462107388,1.3418951480550603,0.47307060921708655,0.26859504132231404,0.6697042640990372,0.7054221251819505,0.611090775988287,0.3402777777777778,0.7090076335877862,0.5714285714285714
CUST00090,MA,103,415,No,No,0,185.0,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2.0,False,train_80,0,643.7,63.86,304,0.2100657894736842,0,0,0.04860325308318245,0.09574167283031855,0.44232539345995514,0.43846285574581817,0.8620986956049245,0.4216064333357343,0.47307060921708655,0.4214876033057851,0.5170220082530949,0.5813318777292577,0.5792459736456809,0.6597222222222223,0.5624427480916031,0.5714285714285714
CUST02162,OR,12,415,No,No,0,204.6,98,34.78,212.5,90,18.06,182.1,95,8.19,9.8,7,2.65,2.0,False,train_80,0,609.0,63.68,290,0.21958620689655173,0,0,-2.236902556201848,0.4577388722718916,0.22801333108700828,-0.3737324028531727,-0.16708655593504418,0.4043510199347469,0.47307060921708655,0.045454545454545456,0.5844222833562586,0.5420305676855895,0.43027086383601754,0.46527777777777785,0.5596946564885495,0.5714285714285714
CUST01216,OR,136,510,No,No,0,259.4,99,44.1,172.7,125,14.68,293.7,78,13.22,10.7,6,2.89,1.0,True,train_80,1,736.5,74.89,308,0.24314935064935064,0,0,0.8774130520546769,1.4698534911187386,-0.5617663061762582,1.853318969619735,0.1637229892028025,1.4789798211851273,-0.43024897859187927,0.5578512396694215,0.7728679504814303,0.397197962154294,0.838762811127379,0.5277777777777778,0.7308396946564886,0.2857142857142857
CUST00230,MI,137,510,No,No,0,206.4,122,35.09,128.0,102,10.88,194.5,84,8.75,8.8,5,2.38,2.0,False,train_80,0,537.6999999999999,57.10000000000001,313,0.18242811501597447,0,0,0.9025285005083585,0.4909835130369342,-1.4487801198865093,-0.12628225035618285,-0.5346527171993188,-0.22643020327912397,0.47307060921708655,0.5619834710743802,0.5906121045392022,0.2345342066957788,0.4756588579795022,0.39583333333333337,0.4592366412213742,0.5714285714285714
CUST02405,NJ,87,510,No,No,0,223.2,109,37.94,127.5,86,10.84,289.3,83,13.02,14.5,4,3.92,3.0,False,train_80,0,654.5,65.72,282,0.23304964539007092,0,0,-0.3532439221757239,0.8012668268439966,-1.4587019746259977,1.765514076798223,1.5604744020070465,0.5999123718126037,1.3763901970260524,0.35537190082644626,0.6483837689133424,0.23271470160116453,0.8226573938506588,0.7916666666666666,0.5908396946564886,0.8571428571428571
